Identifiant géographique / Asset location;Longueur / length (km);IST_E1 (Amp);IST_IS1 (Amp);IST_IS2 (Amp);IST_H1 (Amp);Rd (Ohm);Xd (Ohm);Hd/2 (µS);Cd (nF)
LIT 225kV N0 1 BOISSE (LA) - ST-VULBAS-EST;21057;900;1015;1015;1112;1,263;8,463;30,335;193,12
LIT 225kV N0 2 BOISSE (LA) - CUSSET-POSTE;12768;857;857;1024;1024;0,63;4,83;40;
LIT 225kV N0 2 BOISSE (LA) - MIONS;20131;900;1015;1015;1112;1,16;8,01;39;
LIT 400kV N0 1 BOISSE (LA) - CHAFFARD (LE);22971;1752;1998;1998;2172;0,724;7,901;39,896;253,983
LIT 400kV N0 1 BOISSE (LA) - MIONS;19897;2300;2450;2450;2600;0,62;6,84;35,06;
LIT 225kV NO 1 BOLLENE-CHATEAUNEUF-DU-RHONE;24939;816;889;889;947;1,996;10,196;50,496;321,471
LIT 225kV NO 1 BOLLENE-TERRADOU;43937;816;889;889;947;3,767;17,664;61,518;391,633
LIT 225kV NO 1 BOLLENE-TRICASTIN-POSTE (LE);5560;1062;1160;1160;1238;0,325;2,172;7,792;49,607
LIT 225kV N0 2 BOLLENE - TRICASTIN-POSTE (LE);5733;1062;1160;1160;1238;0,344;2,304;8,231;52,401
LIT 225kV NO 1 BONNEAU-ORANGERIE (L);35413;1012;1150;1150;1247;2,124;14,107;51,218;326,062
LIT 225kV NO 1 BONNEAU-VALDIVIENNE;27611;1180;1310;1310;1390;1,656;10,454;42,365;269,701
LIT 225kV NO 2 BONNEAU-VALDIVIENNE;27592;1180;1310;1310;1390;1,653;10,436;42,294;269,252
LIT 225kV N0 1 BONNIERES - MEZEROLLES;28492;1172;1285;1285;1388;1,702;11,349;40,982;260,899
LIT 225kV NO 1 BOUDEYRE-CHATEAUNEUF-DU-RHONE;28383;862;928;928;987;2,433;11,463;40,006;254,689
LIT 225kV NO 1 BOUDEYRE-MONTPEZAT;19100;862;928;928;987;1,724;7,671;26,716;170,081
LIT 225kV NO 1 BOUTRE-COUDON (LE);63400;2200;2300;2300;2400;1,641;17,352;131,628;837,968
