"OBJECTID";"ID";"SYMBOLE";"ACTEUR";"MAJ";"MAJ_GEO";"TRACE";"CODNAT";"ADR_SITE";"LIB_SUITE";"FONCTION";"PORTIQUE";"POSTE_ISOLE";"ETAT";"U_MAX";"x";"y"
3491;70036489;"+PE6";"NBP";1319716687000;1319716435000;1;"VINC5";"VINCENNES";NA;"P";0;0;"E";6;659168,119999997;6860685,16
3497;20001171;"+PE6";"CA";1317290155000;1374576810000;1;"VOGEL";"VOGELGRUN";NA;"P";0;0;"E";6;1041177,35;6778987,6
3504;30002129;"+PE6";"DDP";610761600000;1128443133000;1;"SAVIG";"SAVIGNAC";NA;"P";0;0;"E";6;702978,340000004;6444333,14
3505;40000826;"+PE7";NA;610761600000;NA;1;"REALT";"REALTOR";NA;"P";0;0;"E";7;890175,310000002;6263703,04
3508;70011504;"+PE6";"JPP";1163066439000;1157122713000;1;"V.SEV";"VAL DE SEVRE";"POSTE DE VAL DE SEVRE";"P";0;0;"E";6;420985,909999996;6634331,9
3512;30000290;"+PE6";"CA";610761600000;1376045512000;1;"CPNOL";"CHAMPAGNOLE";NA;"P";0;0;"E";6;921738,829999998;6633075,83
3514;30002034;"+PE6";"CFP";610761600000;1394207115000;1;"EYBEN";"EYBENS";NA;"P";0;0;"E";6;917329,799999997;6453870,8
3515;40002108;"+PE6";"RTP";1024531200000;1376394265000;1;"CABRI";"CABRIES";NA;"P";0;0;"E";6;887746,719999999;6263639,94
3519;30002240;"+PE6";"SSP";610761600000;1398166082000;1;"LANAU";"LANAU";NA;"P";0;0;"E";6;700236,759999998;6421330,21
3520;10000239;"+PE6";"CA";9,30096e+11;1357835466000;1;"FLAME";"FLAMENGRIE";"(S.N.C.F)";"P";0;0;"E";6;694172,689999998;7061336,94
3521;10000240;"+PE7";"CA";9,30096e+11;1357835227000;1;"WEPPE";"WEPPES";NA;"P";0;0;"E";7;692026,789999999;7060250,8
3522;70002330;"+PE6";"vc";1111149640000;NA;1;"BERT5";"BERTHOLLET";NA;"P";0;0;"E";6;650521,399999999;6854456,57
3523;70001110;"+PE6";"NBP";774489600000;1359630083000;1;"GOBEL";"GOBELINS";NA;"P";0;0;"E";6;652763,329999998;6859532,83
3524;70001139;"+PE6";"NBP";774489600000;1359563899000;1;"TOLBI";"TOLBIAC";NA;"P";0;0;"E";6;653365,399999999;6857798,06
3525;70001088;"+PE6";"NBP";774489600000;1359633240000;1;"ERASM";"ERASME";NA;"P";0;0;"E";6;651574,200000003;6860382,74
3526;70001071;"+PE6";NA;774489600000;NA;1;"SEVRE";"SEVRES";NA;"P";0;0;"E";6;650713,75;6861521,93
3528;70001095;"+PE6";"NBP";774489600000;1359650135000;1;"CONVE";"CONVENTION";NA;"P";0;0;"E";6;648140,649999999;6860042,65
3529;70001078;"+PE6";"NBP";826243200000;1359649731000;1;"LAOS ";"LAOS";NA;"P";0;0;"E";6;647208,710000001;6861770,38
3531;70001084;"+PE6";"smo";9,5472e+11;1340097413000;1;"JAVEL";"JAVEL";NA;"P";0;0;"E";6;647140,18;6860718,81
3532;70001104;"+PE6";NA;774489600000;NA;1;"CASTA";"CASTAGNARY";NA;"P";0;0;"E";6;649695,380000003;6859409,07
3533;70001144;"+PE6";"NBP";774489600000;1359544912000;1;"ALESI";"ALESIA";NA;"P";0;0;"E";6;651304,789999999;6857818,05
3534;70001223;"+PE6";NA;774489600000;NA;1;"SONNE";"SONNETTES";NA;"P";0;0;"E";6;666568,409999996;6855355,11
3536;70001052;"+PE6";NA;774489600000;NA;1;"HALLE";"HALLES";NA;"P";0;0;"E";6;652481,890000001;6862710,72
3546;20000229;"+PE6";"LCP";952387200000;1449743319000;1;"SSHUB";"ST-HUBERT";"(E.D.F. ET C.S.R. ET SOLLAC)";"P";0;0;"E";6;927766,640000001;6915389,77
3548;70058383;"+PE6";"JUL";1450110574000;1441364645000;1;"URSU5";"URSULE";"(EURODIF)";"P";0;0;"E";6;835912,609999999;6359533,17
3556;50000751;"+PE6";NA;610761600000;NA;1;"LARDI";"LARDIT";NA;"P";0;0;"E";6;667342,75;6396372,13
3567;70001641;"+PE6";"CFP";774489600000;1411469169000;1;"CZTRY";"COURTRY";NA;"P";0;0;"E";6;683161,890000001;6827694,06
3568;70001615;"+PE6";"CFP";956793600000;1411469253000;1;"MOISE";"MOISENAY";"(S.N.C.F.)";"P";0;0;"E";6;681329,770000003;6831138,39
3569;70001699;"+PE7";"CFP";1411647807000;1411647846000;1;"MTERE";"MONTEREAU";NA;"P";0;0;"E";7;687642,950000003;6810142,36
3578;30001090;"+PE7";"CFP";7,65504e+11;1456920495000;1;"RULHA";"RULHAT";NA;"P";0;0;"E";7;720943,390000001;6523761,2
3582;70003219;"+PE6";"CGP";1076889600000;1297346948000;1;"AMFAR";"AMFARD";"COGENERATION ENEVIA PORT JEROME";"P";0;0;"E";6;498123,799999997;6936672,73
3586;70000218;"+PE6";"VC";1193141010000;1193140986000;1;"SANDO";"SANDOUVILLE";"(EDF ET CIMENTS LAFARGE)";"P";0;0;"E";6;504777,93;6935769,84
3589;70000376;"+PE6";"smo";610761600000;1325588009000;1;"CLEON";"CLEON";NA;"P";0;0;"E";6;557068,82;6915783,85
3591;70000375;"+PE6";"FL";1096647956000;1286543538000;1;"MANOI";"MANOIR (LE)";NA;"P";0;0;"E";6;570674,140000001;6914556,69
3596;60000456;"+PE6";NA;610761600000;NA;1;"SSLAU";"ST-LAURENT";NA;"P";0;0;"E";6;354222,649999999;6792228,22
3600;70000943;"+PE6";NA;774489600000;NA;1;"PERRE";"PERRET";NA;"P";0;0;"E";6;647293,899999999;6866881,14
3602;30000083;"+PE6";NA;610761600000;NA;1;"VNOL ";"VIGNOL";NA;"P";0;0;"E";6;748988,060000002;6693907,13
3610;70000835;"+PE6";"CA";774489600000;1389021784000;1;"ARGE6";"ARGENTEUIL";NA;"P";0;0;"E";6;643717,729999997;6872719,42
3616;30001894;"+PE7";"FL";610761600000;1287998844000;1;"VLARO";"VILLARODIN";NA;"P";0;0;"E";7;992444,689999998;6462058,26
3628;50000308;"+PE7";"SDP";928195200000;1393329338000;1;"BRAUD";"BRAUD";NA;"P";0;0;"E";7;411542,469999999;6470191,82
3629;50000514;"+PE6";NA;610761600000;NA;1;"GATEL";"GATELLIER";NA;"P";0;0;"E";6;639629,009999998;6428661,82
3632;50002224;"+PE7";"CA";1034035200000;1418723227000;1;"ARGIA";"ARGIA";"(BAYONNE SUD)";"P";0;0;"E";7;341060,810000002;6268147,36
3633;70028077;"+PE6";"MBP";1263483853000;1377080808000;1;"ROGE5";"ROGERVILLE";NA;"P";0;0;"E";6;501536,729999997;6933367,06
3634;70000760;"+PE6";NA;774489600000;NA;1;"PORCH";"PORCHEVILLE";NA;"P";0;0;"E";6;609254,759999998;6874357,87
3635;50001115;"+PE6";NA;610761600000;NA;1;"NAOUT";"NAOUTOT";NA;"P";0;0;"E";6;417269,189999998;6312928,87
3638;70000798;"+PE6";NA;947203200000;NA;1;"CORME";"CORMEILLES";NA;"P";0;0;"E";6;641287,450000003;6872657,9
3641;40000714;"+PE6";"DCP";888969600000;1233931046000;1;"SSCHA";"ST-CHAMAS";NA;"P";0;0;"E";6;866922,170000002;6271955,53
3644;30000137;"+PE6";"AJ";787190400000;1123596179000;1;"COUCH";"COUCHEY";NA;"P";0;0;"E";6;851221,149999999;6685789,21
3648;40000883;"+PE6";NA;9,51264e+11;NA;1;"P.BOU";"PORT-DE-BOUC";NA;"P";0;0;"E";6;861257,630000003;6259809,7
3654;50000627;"+PE6";"SDP";824947200000;1393860271000;1;"GREZI";"GREZILLAC";NA;"P";0;0;"E";6;444562,369999997;6417906,59
3655;60001776;"+PE6";NA;610761600000;NA;1;"NIORT";"NIORT";NA;"P";0;0;"E";6;436064,439999998;6588929,82
3656;30000744;"+PE6";"CA";788659200000;1409933740000;1;"CRUSE";"CRUSEILLES";NA;"P";0;0;"E";6;939262,939999998;6554882,02
3657;40000938;"+PE6";"CFP";783820800000;1429633876000;1;"B.MAI";"BELLE-DE-MAI";NA;"P";0;0;"E";6;894168,399999999;6249600,67
3658;20000558;"+PE6";NA;610761600000;NA;1;"HAGU5";"HAGUENAU";"(ELECTRICITE DE STRASBOURG)";"P";0;0;"E";6;1050248,73;6868403,45
3660;70032077;"+PE6";"CA";1415982113000;1415980900000;1;"V.POR";"VIEUX-PORT";NA;"P";0;0;"E";6;891180,210000001;6246277,86
3661;60000060;"+PE6";"LCP";610761600000;1426868768000;1;"RANCE";"RANCE";NA;"P";0;0;"E";6;331338,799999997;6847289,95
3665;10000776;"+PE6";NA;610761600000;NA;1;"ROYE ";"ROYE";NA;"P";0;0;"E";6;685611,93;6955013,21
3666;30000514;"+PE6";NA;610761600000;NA;1;"MTVIC";"MONTVICQ";NA;"P";0;0;"E";6;686225,640000001;6578463,72
3668;70043695;"+PE6";"CFP";1385132986000;1391618673000;1;"PEREL";"PERELLE";"(S.N.C.F.)";"P";0;0;"E";6;902017,189999998;6473265,27
3669;60000737;"+PE6";"CAP";1007942400000;1315475956000;1;"BEZON";"BEZON";NA;"P";0;0;"E";6;295633,350000001;6770111,39
3673;10000286;"+PE6";NA;1071532800000;NA;1;"EPINE";"EPINETTE";NA;"P";0;0;"E";6;703196,380000003;7049644,9
3680;60001797;"+PE7";NA;610761600000;NA;1;"GRANZ";"GRANZAY";NA;"P";0;0;"E";7;428562,350000001;6575130,14
3686;20001076;"+PE6";"FL";610761600000;1240565978000;1;"MARCK";"MARCKOLSHEIM";NA;"P";0;0;"E";6;1040898,89;6793478,18
3687;20001058;"+PE6";"RTP";768182400000;1367923114000;1;"BRUNN";"BRUNNENWASSER";"(J.B.L.)";"P";0;0;"E";6;1042304,39;6795470,43
3688;20000567;"+PE6";NA;610761600000;NA;1;"BATZE";"BATZENDORF";NA;"P";0;0;"E";6;1046334,56;6866367,95
3692;50001382;"+PE6";"CA";610761600000;1399388153000;1;"MTPEL";"MONTPELLIER";NA;"P";0;0;"E";6;768636,659999996;6276073,49
3697;50001619;"+PE7";NA;1004486400000;NA;1;"ISSEL";"ISSEL";NA;"P";0;0;"E";7;617593,5;6254451,83
3700;70000740;"+PE6";"FL";956793600000;1233569036000;1;"AMPON";"AMPONT";"(ALPA ACIERIES LAMINOIRS DE PARIS)";"P";0;0;"E";6;608978,890000001;6876701,06
3705;40001879;"+PE6";"PSP";9,16272e+11;1291908189000;1;"P.BOR";"PIED-DE-BORNE";NA;"P";0;0;"E";6;779374,329999998;6375327,57
3706;70001674;"+PE6";"CFP";1058486400000;1411466656000;1;"VOULZ";"VOULZIE (LA)";"(S.N.C.F.)";"P";0;0;"E";6;695727,039999999;6813479,37
3710;70001239;"+PE6";"RTP";774489600000;1348833941000;1;"VITRY";"VITRY (-SUR-SEINE)";NA;"P";0;0;"E";6;658293,880000003;6856722,57
